               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079207,            0.025891,            0.057176,             0.92443,             0.12311,            0.066383,            0.065873,            0.081577,            0.011364,            0.056584,            0.070082,           0.0033243,           0.0033243
                   1,            0.061108,            0.020441,            0.039806,              0.8283,             0.15526,            0.095009,            0.068093,            0.071753,            0.011159,            0.041663,            0.040016,           0.0065917,           0.0065917
                   2,            0.055513,            0.018408,            0.033398,             0.77601,             0.15134,              0.1285,             0.11041,            0.068605,            0.010943,            0.039426,           0.0098837,           0.0097931,           0.0097931
                   3,            0.051692,            0.017025,            0.030193,             0.87593,             0.17818,             0.15704,             0.12224,            0.063833,           0.0096262,            0.034182,            0.009703,            0.009703,            0.009703
                   4,            0.048515,            0.016398,            0.028558,             0.58359,             0.18621,             0.15486,             0.12683,            0.065424,            0.011155,            0.033776,            0.009703,            0.009703,            0.009703
                   5,            0.046021,            0.015788,            0.027214,              0.7347,             0.20402,             0.18249,             0.13708,            0.061645,            0.010502,            0.031867,            0.009604,            0.009604,            0.009604
                   6,            0.044907,            0.015275,            0.026627,             0.56454,             0.21712,             0.18114,             0.14151,            0.061778,            0.010376,            0.032947,            0.009505,            0.009505,            0.009505
                   7,            0.043516,            0.015252,            0.025066,             0.57204,             0.25917,             0.20081,             0.14955,            0.057765,            0.010393,            0.029615,            0.009406,            0.009406,            0.009406
                   8,            0.042472,            0.014835,            0.025074,             0.55632,             0.23805,             0.19688,             0.14919,             0.05789,            0.011489,            0.030226,            0.009307,            0.009307,            0.009307
                   9,             0.04219,            0.014299,            0.024356,             0.63556,             0.25908,             0.21226,              0.1546,            0.056556,            0.011029,            0.028395,            0.009208,            0.009208,            0.009208
                  10,            0.042055,            0.014384,            0.024407,             0.51817,             0.26211,             0.21551,             0.15781,            0.055863,            0.010525,            0.028734,            0.009109,            0.009109,            0.009109
                  11,            0.041443,            0.014216,            0.023424,             0.57258,              0.2572,             0.21149,             0.14859,            0.059826,            0.010394,            0.028995,             0.00901,             0.00901,             0.00901
